name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
Francis Ngannou,17.0,3.0,193.04,113.4,210.82,Orthodox,37.0,2.33,0.41,2.16,0.41,0.76,0.62,0.71,0.3,71.0,4.0,0.0,"UFC 270: Ngannou vs. Gane, UFC 249: Ferguson vs. Gaethje, UFC Fight Night: Ngannou vs. Dos Santos, UFC Fight Night: Ngannou vs. Velasquez, UFC 226: Miocic vs. Cormier, UFC Fight Night: Lewis vs. Abdurakhimov, UFC on FOX: Holm vs. Shevchenko, UFC Fight Night: Rothwell vs Dos Santos, UFC on FOX: Dos Anjos vs. Cowboy 2","Red, Blue","U-DEC, KO/TKO Punch",Men
Francisco Figueiredo,13.0,5.0,167.64,56.7,172.72,Southpaw,34.0,2.04,0.61,2.59,0.61,2.51,0.75,0.76,0.4,52.0,2.0,0.0,"UFC Fight Night: Makhachev vs. Moises, UFC Fight Night: Chiesa vs. Magny","Blue, Red",SUB Kneebar,Men
Francisco Prado,12.0,2.0,177.8,70.31,175.26,Orthodox,21.0,4.58,0.41,5.66,0.52,0.0,0.0,0.25,0.4,,,,,,KO/TKO Punches,
Francisco Rivera,11.0,7.0,172.72,61.23,177.8,Orthodox,42.0,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6,59.0,0.0,0.0,"UFC 201: Lawler vs. Woodley, UFC Fight Night: Silva vs Bisping, UFC 191: Johnson vs Dodson 2, UFC Fight Night: Boetsch vs Henderson","Blue, Red","KO/TKO Punch, KO/TKO Punches, U-DEC",Men
Francisco Trevino,13.0,3.0,175.26,70.31,177.8,Orthodox,42.0,2.65,0.42,2.42,0.64,0.97,0.22,0.41,0.0,1.0,0.0,0.0,"UFC 192: Cormier vs Gustafsson, UFC 188: Velasquez vs Werdum",Blue,U-DEC,Men
Francisco Trinaldo,28.0,9.0,175.26,77.11,177.8,Southpaw,45.0,3.13,0.45,2.67,0.6,0.98,0.42,0.6,0.5,91.0,0.0,1.0,"UFC 274: Oliveira vs. Gaethje, UFC Fight Night: Costa vs. Vettori, UFC Fight Night: Rozenstruik vs. Sakai, UFC Fight Night: Whittaker vs. Till, UFC Fight Night: Lee vs. Oliveira, UFC Fight Night: Blachowicz vs. Jacare, UFC Fight Night: Marreta vs. Anders, UFC Fight Night: Brunson vs. Machida, UFC Fight Night: Belfort vs. Gastelum, UFC Fight Night: Cyborg vs. Lansberg, UFC 198: Werdum vs Miocic, UFC Fight Night: Condit vs Alves, UFC Fight Night: Maia vs LaFlare, UFC Fight Night: Bigfoot vs Arlovski, UFC Fight Night: Machida vs Mousasi, UFC Fight Night: Teixeira vs Bader, UFC on FX: Belfort vs. Rockhold, UFC on FX: Belfort vs Bisping","Red, Blue","U-DEC, S-DEC, SUB Arm Triangle, KO/TKO Punches",Men
Frank Camacho,22.0,10.0,177.8,70.31,185.42,Orthodox,34.0,6.56,0.46,7.44,0.51,1.11,0.31,0.73,0.0,24.0,0.0,0.0,"UFC Fight Night: Blachowicz vs. Rakic, UFC Fight Night: Blaydes vs. Volkov, UFC Fight Night: Maia vs. Askren",Blue,KO/TKO Punches,Men
Frank Caracci,2.0,3.0,180.34,77.11,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Frank Lester,11.0,6.0,180.34,77.11,,Orthodox,39.0,2.18,0.36,3.82,0.53,0.0,0.0,0.0,0.0,,,,,,,
Frank Mir,18.0,11.0,190.5,119.75,200.66,Southpaw,44.0,2.18,0.47,3.84,0.38,2.02,0.4,0.54,2.0,16.0,0.0,0.0,"UFC Fight Night: Mir vs Duffee, UFC 169: Barao vs Faber 2, UFC 164: Henderson vs Pettis 2, UFC on FOX: Henderson vs Melendez, UFC 140: Jones vs Machida, UFC 130: Rampage vs Hamill, UFC 119: Mir vs Cro Cop, UFC 111: St-Pierre vs Hardy, UFC 107: Penn vs Sanchez, UFC 92: The Ultimate 2008, UFC 81: Breaking Point, UFC 74: Respect, UFC 61: Bitter Rivals, UFC 48: Payback, UFC 46: Supernatural, UFC 43: Meltdown, UFC 41: Onslaught, UFC 36: Worlds Collide, UFC 34: High Voltage","Red, Blue","KO/TKO Punch, SUB Kimura, U-DEC, KO/TKO Knee, SUB Guillotine Choke, SUB Kneebar, SUB Armbar, DQ, SUB Toe Hold, SUB Other - Lock",Men
