name,wins,losses,height,weight,reach,stance,age,SLpM,sig_str_acc,SApM,str_def,td_avg,td_acc,td_def,sub_avg,r_str_x,r_td_x,r_sub_att,event_name,winner,Method,gender
AJ Cunningham,11.0,4.0,177.8,70.31,180.34,Orthodox,29.0,7.66,0.29,11.9,0.48,0.0,0.0,0.33,0.0,,,,,,,
AJ Dobson,7.0,3.0,185.42,83.91,193.04,Orthodox,32.0,4.29,0.46,5.31,0.46,1.67,0.75,0.65,0.3,98.0,2.0,0.0,"UFC Fight Night: Luque vs. Dos Anjos, UFC 271: Adesanya vs. Whittaker 2","Red, Blue",U-DEC,Men
AJ Fletcher,10.0,3.0,177.8,77.11,170.18,Switch,27.0,3.36,0.49,4.61,0.46,1.54,0.35,0.33,0.9,23.0,0.0,1.0,"UFC Fight Night: Andrade vs. Blanchfield, UFC 278: Usman vs. Edwards","Red, Blue",SUB Guillotine Choke,Men
Aalon Cruz,8.0,4.0,182.88,65.77,198.12,Switch,34.0,7.58,0.39,8.88,0.58,0.0,0.0,0.0,0.0,2.0,0.0,0.0,UFC Fight Night: Benavidez vs. Figueiredo,Blue,,Men
Aaron Brink,26.0,26.0,190.5,92.99,,Orthodox,49.0,3.49,0.42,5.71,0.57,0.0,0.0,0.0,0.0,,,,,,,
Aaron Phillips,12.0,5.0,175.26,61.23,180.34,Southpaw,34.0,1.51,0.53,3.66,0.43,0.86,0.5,0.44,0.6,79.0,3.0,1.0,"UFC Fight Night: Holloway vs. Allen, UFC Fight Night: Henderson vs Dos Anjos",Blue,,Men
Aaron Riley,30.0,14.0,172.72,70.31,175.26,Southpaw,43.0,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,26.0,0.0,0.0,"UFC on FOX: Johnson vs Moraga, UFC 114: Rampage vs Evans, UFC 101: Declaration, UFC 91: Couture vs Lesnar","Blue, Red",U-DEC,Men
Aaron Rosa,18.0,6.0,193.04,92.99,195.58,Orthodox,40.0,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4,256.0,0.0,0.0,UFC on FOX: Velasquez vs Dos Santos,Red,M-DEC,Men
Aaron Simpson,12.0,5.0,182.88,77.11,185.42,Orthodox,49.0,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,50.0,1.0,1.0,"UFC on FX: Browne vs Bigfoot, UFC on FUEL TV: Munoz vs Weidman, UFC on FUEL TV: Sanchez vs Ellenberger, UFC 136: Edgar vs Maynard 3, UFC 123: Rampage vs Machida, UFC Fight Night: Maynard vs Diaz, UFC 102: Couture vs Nogueira, UFC Fight Night: Condit vs Kampmann","Blue, Red","U-DEC, KO/TKO",Men
Aaron Wilkinson,11.0,7.0,177.8,70.31,,Orthodox,37.0,0.0,0.0,0.0,1.0,7.32,1.0,0.0,0.0,,,,,,,
Abdul Razak Alhassan,12.0,6.0,177.8,83.91,185.42,Orthodox,38.0,3.37,0.48,3.99,0.55,0.89,0.38,0.5,0.2,32.0,0.0,0.0,"UFC Fight Night: Whittaker vs. Gastelum, UFC Fight Night: Felder vs. Dos Anjos, UFC Fight Night: Kattar vs. Ige, UFC 228: Woodley vs. Till, UFC Fight Night: Gustafsson vs. Teixeira","Blue, Red","KO/TKO Punches, KO/TKO Punch",Men
Abdul-Kareem Al-Selwady,15.0,4.0,172.72,70.31,175.26,Orthodox,28.0,4.14,0.34,3.6,0.59,2.32,0.3,0.2,0.0,50.0,3.0,0.0,UFC Fight Night: Rozenstruik vs. Gaziev,Blue,,Men
Abdul-Kerim Edilov,17.0,4.0,187.96,92.99,,Orthodox,32.0,10.22,0.61,0.13,0.92,3.98,1.0,0.0,2.0,,,,,,KO/TKO Punches,
Abel Trujillo,15.0,8.0,172.72,70.31,177.8,Orthodox,40.0,2.65,0.41,2.31,0.59,2.18,0.45,0.4,0.4,14.0,1.0,0.0,"UFC Fight Night: Bermudez vs. The Korean Zombie, UFC Fight Night: Almeida vs Garbrandt, UFC 195: Lawler vs Condit, UFC on FOX: Johnson vs. Benavidez 2","Blue, Red","U-DEC, SUB Guillotine Choke, KO/TKO Punch, KO/TKO Punches",Men
Abner Lloveras,20.0,9.0,180.34,70.31,,,41.0,6.27,0.49,6.87,0.43,2.0,0.2,0.0,0.0,,,,,,,
Abu Azaitar,14.0,4.0,175.26,83.91,193.04,Orthodox,38.0,4.38,0.43,4.32,0.51,1.0,0.37,0.42,0.0,87.0,2.0,0.0,UFC 294: Makhachev vs. Volkanovski 2,Blue,U-DEC,Men
Abubakar Nurmagomedov,17.0,4.0,180.34,77.11,182.88,Orthodox,34.0,2.78,0.53,2.61,0.65,1.25,0.22,0.88,0.0,48.0,1.0,0.0,"UFC Fight Night: Kara-France vs. Albazi, UFC 280: Oliveira vs. Makhachev, UFC Fight Night: Zabit vs. Kattar","Blue, Red",U-DEC,Men
Abus Magomedov,25.0,6.0,187.96,83.91,198.12,Orthodox,33.0,3.73,0.42,5.36,0.54,0.61,0.5,1.0,0.0,7.0,0.0,0.0,UFC Fight Night: Gane vs. Tuivasa,Red,KO/TKO Punches,Men
Adam Cella,6.0,8.0,187.96,77.11,,,38.0,1.91,0.42,2.61,0.51,3.92,0.75,0.5,1.3,,,,,,,
Adam Fugitt,9.0,4.0,185.42,77.11,195.58,Southpaw,35.0,4.3,0.54,5.13,0.48,3.43,0.33,0.5,0.0,,,,,,KO/TKO Elbows,
Adam Milstead,8.0,4.0,190.5,92.99,193.04,Orthodox,36.0,3.85,0.46,4.79,0.43,0.0,0.0,0.64,0.0,22.0,0.0,0.0,UFC Fight Night: Lee vs. Iaquinta,Blue,Overturned,Men
Adam Wieczorek,10.0,2.0,195.58,113.4,205.74,Orthodox,32.0,1.68,0.38,1.87,0.48,0.41,0.33,0.58,0.4,31.0,1.0,0.0,UFC 230: Cormier vs. Lewis,Blue,SUB Omoplata,Men
Adam Yandiev,9.0,1.0,175.26,83.91,187.96,Orthodox,35.0,0.18,0.08,6.14,0.36,0.0,0.0,0.25,0.0,1.0,0.0,0.0,UFC Fight Night: Hunt vs. Oleinik,Blue,,Men
Adlan Amagov,14.0,2.0,187.96,77.11,193.04,Orthodox,37.0,3.29,0.47,0.82,0.78,5.84,0.56,1.0,0.0,,,,,,"KO/TKO Punch, U-DEC",
Adrian Serrano,56.0,29.0,172.72,77.11,,,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Adrian Yanez,16.0,5.0,170.18,61.23,177.8,Orthodox,30.0,6.15,0.39,5.73,0.57,0.0,0.0,1.0,0.0,36.0,0.0,0.0,"UFC Fight Night: Kattar vs. Emmett, UFC Fight Night: Sandhagen vs. Dillashaw, UFC Fight Night: Brunson vs. Holland, UFC Fight Night: Hall vs. Silva",Red,KO/TKO Punches,Men
Adriano Martins,28.0,9.0,177.8,70.31,182.88,Southpaw,41.0,1.8,0.38,2.14,0.65,0.83,0.8,0.81,0.4,3.0,0.0,0.0,"UFC 192: Cormier vs Gustafsson, The Ultimate Fighter: Team Edgar vs. Team Penn Finale, UFC Fight Night: Belfort vs Henderson 2",Red,"KO/TKO Punch, S-DEC",Men
Adriano Santos,0.0,1.0,185.42,81.65,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Aiemann Zahabi,11.0,2.0,172.72,61.23,172.72,Orthodox,36.0,3.43,0.43,3.61,0.71,0.2,0.16,0.79,0.0,77.0,0.0,0.0,"UFC Fight Night: Rozenstruik vs. Gaziev, UFC 289: Nunes vs. Aldana, UFC Fight Night: Dos Anjos vs. Fiziev, UFC Fight Night: Blaydes vs. Lewis, UFC Fight Night: Iaquinta vs. Cowboy, UFC 217: Bisping vs. St-Pierre, UFC Fight Night: Lewis vs. Browne","Red, Blue","KO/TKO Punch, U-DEC",Men
Ailin Perez,9.0,2.0,165.1,61.23,167.64,Switch,29.0,2.96,0.55,1.18,0.57,4.89,0.5,0.75,0.0,,,,,,U-DEC,
Aisling Daly,16.0,6.0,157.48,52.16,162.56,Orthodox,36.0,2.92,0.52,1.4,0.55,2.15,0.41,0.33,0.9,166.0,2.0,0.0,"UFC Fight Night: Holohan vs Smolka, The Ultimate Fighter: A Champion Will Be Crowned Finale",Red,"U-DEC, SUB Armbar",Women
Akbarh Arreola,23.0,11.0,177.8,70.31,180.34,Southpaw,41.0,2.32,0.45,4.01,0.56,1.07,1.0,0.33,0.4,30.0,2.0,0.0,UFC on FOX: Lawler vs Brown,Blue,SUB Armbar,Men
Akihiro Gono,35.0,21.0,170.18,77.11,172.72,Switch,49.0,2.18,0.48,2.67,0.63,1.01,0.84,0.46,0.5,39.0,1.0,1.0,UFC 78: Validation,Red,SUB Armbar,Men
Akira Corassani,12.0,6.0,172.72,65.77,172.72,Orthodox,41.0,3.25,0.45,4.91,0.5,0.7,0.28,0.86,0.0,11.0,0.0,0.0,"UFC on FOX: Gustafsson vs Johnson, UFC Fight Night: Nelson vs Story, The Ultimate Fighter: Team Rousey vs. Team Tate Finale, UFC on FUEL TV: Mousasi vs Latifi","Blue, Red","DQ, U-DEC",Men
Al Iaquinta,14.0,7.0,177.8,70.31,177.8,Orthodox,36.0,4.06,0.4,4.53,0.61,0.63,0.18,0.74,0.2,10.0,0.0,0.0,"UFC 268: Usman vs. Covington 2, UFC 243: Whittaker vs. Adesanya, UFC Fight Night: Iaquinta vs. Cowboy, UFC Fight Night: Swanson vs. Lobov, UFC Fight Night: Jacare vs Mousasi, UFC 173: Barao vs Dillashaw, UFC 169: Barao vs Faber 2, UFC Fight Night: Machida vs Munoz","Blue, Red","U-DEC, KO/TKO Punches",Men
Alan Baudot,8.0,3.0,190.5,110.22,200.66,Orthodox,36.0,5.36,0.58,4.82,0.46,0.0,0.0,0.62,0.0,,,,,,Overturned Punches,
Alan Belcher,18.0,8.0,187.96,83.91,190.5,Orthodox,39.0,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,52.0,0.0,0.0,"UFC Fight Night: Shields vs Ellenberger, UFC 107: Penn vs Sanchez, UFC 93: Franklin vs Henderson, UFC Fight Night: Diaz vs Neer, UFC 77: Hostile Territory, UFC 71: Liddell vs Jackson, UFC Fight Night: Sanchez vs Riggs",Red,"KO/TKO Punches, SUB Rear Naked Choke, SUB Guillotine Choke, KO/TKO",Men
Alan Jouban,17.0,7.0,182.88,77.11,185.42,Southpaw,42.0,5.67,0.5,3.77,0.6,0.51,0.44,0.58,0.3,169.0,0.0,2.0,"UFC 255: Figueiredo vs. Perez, UFC 236: Holloway vs. Poirier 2, UFC Fight Night: Pettis vs. Moreno, UFC on FOX: VanZant vs. Waterson, UFC Fight Night: Dos Anjos vs. Alvarez, UFC 192: Cormier vs Gustafsson, UFC Fight Night: Mir vs Duffee, UFC 184: Rousey vs Zingano","Red, Blue","U-DEC, KO/TKO Punch, KO/TKO Elbow",Men
Alan Omer,20.0,5.0,177.8,65.77,,Orthodox,35.0,3.49,0.55,2.21,0.64,1.69,0.42,0.66,0.0,85.0,2.0,0.0,"UFC Fight Night: Jedrzejczyk vs Penne, UFC Fight Night: Minotauro vs Nelson",Blue,,Men
Alan Patrick,15.0,4.0,180.34,70.31,187.96,Southpaw,40.0,1.82,0.4,2.95,0.43,3.01,0.33,0.43,0.3,91.0,9.0,0.0,"UFC Fight Night: Machida vs. Anders, UFC Fight Night: Cyborg vs. Lansberg, UFC Fight Night: Hunt vs Mir, UFC Fight Night: Maia vs Shields",Red,"CNC, U-DEC",Men
Alatengheili,16.0,9.0,165.1,61.23,167.64,Orthodox,32.0,2.88,0.33,5.03,0.58,1.82,0.4,0.72,0.0,9.0,0.0,0.0,"UFC Fight Night: Luque vs. Muhammad, UFC Fight Night: Edgar vs. The Korean Zombie, UFC Fight Night: Andrade vs. Zhang",Red,"U-DEC, KO/TKO Punches",Men
Albert Cheng,7.0,4.0,180.34,77.11,,Orthodox,39.0,1.0,0.41,2.6,0.71,0.0,0.0,0.0,0.0,5.0,0.0,0.0,UFC Fight Night: Kim vs Hathaway,Blue,,Men
Albert Duraev,16.0,5.0,180.34,83.91,190.5,Orthodox,35.0,2.99,0.4,3.01,0.59,1.97,0.29,0.66,0.6,35.0,1.0,0.0,"UFC Fight Night: Holm vs. Bueno Silva, UFC 267: Blachowicz vs. Teixeira","Blue, Red","S-DEC, U-DEC",Men
Albert Morales,7.0,4.0,175.26,61.23,182.88,Orthodox,32.0,3.81,0.35,3.96,0.56,0.91,0.35,0.7,0.2,30.0,1.0,0.0,"UFC Fight Night: Emmett vs. Stephens, UFC Fight Night: Swanson vs. Ortega, UFC 209: Woodley vs. Thompson 2","Blue, Red",S-DEC,Men
Albert Tumenov,18.0,4.0,180.34,77.11,185.42,Orthodox,32.0,3.76,0.42,3.34,0.58,0.2,0.2,0.75,0.0,24.0,0.0,0.0,"UFC Fight Night: Overeem vs Arlovski, UFC Fight Night: MacDonald vs Saffiedine","Blue, Red","S-DEC, KO/TKO Punches, U-DEC, KO/TKO Kick",Men
Alberta Cerra Leon,0.0,1.0,172.72,107.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
Alberto Crane,15.0,5.0,165.1,70.31,,Orthodox,47.0,0.43,0.25,2.61,0.57,0.0,0.0,0.5,4.0,,,,,,,
Alberto Mina,13.0,1.0,182.88,77.11,195.58,Orthodox,41.0,3.23,0.38,3.7,0.47,1.85,0.2,0.5,0.0,16.0,1.0,0.0,"UFC 224: Nunes vs. Pennington, UFC Fight Night: Bisping vs Le","Blue, Red",KO/TKO Flying Knee,Men
Alberto Uda,12.0,2.0,190.5,83.91,,Orthodox,39.0,1.79,0.52,3.49,0.45,2.83,0.5,0.66,0.0,21.0,1.0,0.0,UFC 202: Diaz vs. McGregor 2,Blue,,Men
Alejandro Perez,23.0,9.0,167.64,61.23,170.18,Orthodox,34.0,3.45,0.35,3.18,0.61,0.54,0.22,0.7,0.3,52.0,0.0,0.0,"UFC Fight Night: Makhachev vs. Green, UFC Fight Night: Santos vs. Walker, UFC 239: Jones vs. Santos, UFC Fight Night: Swanson vs. Ortega, UFC Fight Night: Pettis vs. Moreno, UFC Fight Night: Magny vs Gastelum, UFC 188: Velasquez vs Werdum, UFC 180: Werdum vs Hunt","Blue, Red","SUB Armbar, U-DEC",Men
Aleksa Camur,6.0,3.0,185.42,92.99,187.96,Orthodox,28.0,4.73,0.57,4.26,0.54,0.46,0.22,0.5,0.0,118.0,0.0,0.0,"UFC Fight Night: Jung vs. Ige, UFC 246: McGregor vs. Cowboy","Blue, Red",U-DEC,Men
Aleksandar Rakic,14.0,3.0,193.04,92.99,198.12,Orthodox,32.0,4.01,0.5,2.3,0.53,0.82,0.25,0.9,0.2,,,,,,"U-DEC, KO/TKO Spinning Back Fist",
Aleksandra Albu,3.0,2.0,157.48,52.16,160.02,Orthodox,33.0,4.83,0.47,5.56,0.38,2.27,0.5,0.77,0.4,2.0,0.0,0.0,UFC Fight Night: Ngannou vs. Velasquez,Blue,"U-DEC, SUB Guillotine Choke",Women
Aleksei Kunchenko,20.0,2.0,172.72,77.11,177.8,Orthodox,39.0,3.67,0.44,2.83,0.63,0.25,0.33,0.8,0.0,56.0,1.0,0.0,UFC Fight Night: Hunt vs. Oleinik,Red,U-DEC,Men
Aleksei Oleinik,60.0,17.0,187.96,108.86,203.2,Orthodox,46.0,3.29,0.48,3.8,0.44,1.82,0.46,0.37,1.9,8.0,0.0,1.0,"UFC 273: Volkanovski vs. The Korean Zombie, UFC Fight Night: Jung vs. Ige, UFC Fight Night: Blaydes vs. Lewis, UFC 249: Ferguson vs. Gaethje, UFC 246: McGregor vs. Cowboy, UFC Fight Night: Dos Anjos vs. Edwards, UFC 224: Nunes vs. Pennington, UFC 217: Bisping vs. St-Pierre, UFC Fight Night: Rodriguez vs. Penn, UFC Fight Night: McDonald vs. Lineker, UFC Fight Night: Swanson vs Stephens","Red, Blue","SUB Scarf Hold, S-DEC, SUB Armbar, SUB Rear Naked Choke, SUB Ezekiel Choke",Men
Alen Amedovski,8.0,4.0,177.8,83.91,187.96,Orthodox,35.0,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,2.0,0.0,0.0,UFC Fight Night: Hermansson vs. Cannonier,Blue,,Men
Alessandro Costa,13.0,4.0,162.56,56.7,170.18,Orthodox,28.0,3.75,0.46,3.61,0.56,0.31,0.16,0.9,0.0,,,,,,KO/TKO Elbows,
Alessio Di Chirico,13.0,7.0,182.88,83.91,187.96,Orthodox,34.0,3.32,0.39,3.44,0.61,1.46,0.39,0.83,0.0,43.0,0.0,0.0,"UFC Fight Night: Gane vs. Tuivasa, UFC Fight Night: Barboza vs. Chikadze, UFC Fight Night: Smith vs. Rakic, UFC Fight Night: Hermansson vs. Cannonier, The Ultimate Fighter: Undefeated Finale, UFC Fight Night: Lawler vs. Dos Anjos, UFC Fight Night: Rothwell vs Dos Santos","Blue, Red","KO/TKO Kick, S-DEC",Men
Alessio Sakara,19.0,11.0,182.88,83.91,182.88,Orthodox,42.0,3.96,0.47,2.8,0.59,2.18,0.78,0.62,0.0,28.0,1.0,0.0,"UFC Fight Night: Machida vs Munoz, UFC Live: Sanchez vs Kampmann, UFC Live: Vera vs Jones, UFC 101: Declaration, UFC Fight Night: Diaz vs Neer, UFC 80: Rapid Fire, UFC 70: Nations Collide, UFC 57: Liddell vs Couture 3","Blue, Red","KO/TKO, S-DEC, KO/TKO Kick, KO/TKO Punches, KO/TKO Punch, U-DEC, CNC",Men
Alex Andrade,10.0,5.0,180.34,90.72,,Orthodox,49.0,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,,,,,,,
Alex Caceres,21.0,14.0,177.8,65.77,185.42,Southpaw,35.0,4.16,0.5,2.93,0.63,0.56,0.68,0.64,0.7,86.0,1.0,0.0,"UFC Fight Night: Kara-France vs. Albazi, UFC Fight Night: Cannonier vs. Strickland, UFC Fight Night: Costa vs. Vettori, UFC Fight Night: Rozenstruik vs. Gane, UFC Fight Night: Smith vs. Rakic, UFC 250: Nunes vs. Spencer, UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Ngannou vs. Velasquez, The Ultimate Fighter: Undefeated Finale, UFC Fight Night: Holm vs. Correia, UFC on FOX: Shevchenko vs. Pena, UFC on FOX: Johnson vs. Bader, UFC Fight Night: Hunt vs Nelson, UFC on FOX: Henderson vs Thomson, UFC Macao: Franklin vs Le, UFC 143: Diaz vs Condit, UFC on FOX: Velasquez vs Dos Santos, UFC Fight Night: Nogueira vs Davis","Red, Blue","U-DEC, S-DEC, Overturned",Men
Alex Chambers,5.0,5.0,160.02,52.16,160.02,Southpaw,45.0,2.97,0.54,5.1,0.5,2.31,0.41,0.53,1.0,79.0,4.0,0.0,"UFC Fight Night: Werdum vs. Tybura, UFC Fight Night: Miocic vs Hunt","Blue, Red",SUB Armbar,Women
Alex Da Silva,21.0,4.0,172.72,70.31,185.42,Orthodox,28.0,2.14,0.46,2.52,0.56,1.97,0.43,0.76,0.3,,,,,,U-DEC,
Alex Garcia,15.0,6.0,175.26,77.11,182.88,Orthodox,36.0,1.81,0.31,3.03,0.59,3.72,0.52,0.66,0.1,39.0,1.0,0.0,"UFC Fight Night: Oezdemir vs. Smith, UFC Fight Night: Cowboy vs Cowboy",Blue,"SUB Rear Naked Choke, KO/TKO Punch, U-DEC, S-DEC",Men
Alex Gorgees,6.0,1.0,187.96,70.31,187.96,Switch,28.0,0.67,0.32,2.27,0.38,0.0,0.0,0.54,0.0,22.0,0.0,0.0,UFC Fight Night: Dos Santos vs. Tuivasa,Blue,,Men
Alex Hunter,2.0,0.0,175.26,102.51,,Orthodox,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,"UFC 15: Collision Course, UFC 14: Showdown",Red,U-DEC,Men
Alex Karalexis,10.0,6.0,172.72,70.31,167.64,Orthodox,46.0,2.57,0.42,2.39,0.54,2.7,0.45,0.86,0.9,12.0,0.0,0.0,The Ultimate Fighter: Team Couture vs. Team Liddell Finale,Red,KO/TKO Punches,Men
Alex Morono,23.0,9.0,180.34,77.11,182.88,Orthodox,33.0,5.02,0.41,4.17,0.58,0.34,0.22,0.5,0.3,54.0,1.0,0.0,"UFC Fight Night: Dawson vs. Green, UFC 277: Pena vs. Nunes 2, UFC Fight Night: Font vs. Aldo, UFC Fight Night: Brunson vs. Till, UFC Fight Night: Felder vs. Dos Anjos, UFC 247: Jones vs. Reyes, UFC Fight Night: Lewis vs. Dos Santos","Blue, Red","SUB Guillotine Choke, U-DEC, S-DEC",Men
Alex Nicholson,7.0,4.0,193.04,83.91,195.58,Orthodox,33.0,4.12,0.43,4.65,0.47,0.0,0.0,0.5,0.5,,,,,,KO/TKO Punch,
Alex Oliveira,22.0,12.0,180.34,77.11,193.04,Orthodox,36.0,2.99,0.51,2.55,0.46,2.35,0.38,0.63,0.6,83.0,1.0,0.0,"UFC Fight Night: Santos vs. Walker, UFC 261: Usman vs. Masvidal 2, UFC 254: Khabib vs. Gaethje, UFC Fight Night: Whittaker vs. Till, UFC 248: Adesanya vs. Romero, UFC Fight Night: Jacare vs. Hermansson, UFC 231: Holloway vs. Ortega, UFC Fight Night: Marreta vs. Anders, UFC 218: Holloway vs. Aldo 2, UFC Fight Night: Belfort vs. Gastelum, UFC on FOX: Holm vs. Shevchenko, UFC Fight Night: Belfort vs Henderson 3, UFC Fight Night: Machida vs Romero","Blue, Red","U-DEC, S-DEC, CNC",Men
Alex Pereira,9.0,2.0,193.04,92.99,200.66,Orthodox,36.0,5.0,0.62,3.65,0.5,0.19,1.0,0.7,0.4,49.0,0.0,0.0,"UFC 287: Pereira vs. Adesanya 2, UFC Fight Night: Santos vs. Ankalaev, UFC 268: Usman vs. Covington 2","Blue, Red","KO/TKO Elbows, S-DEC, KO/TKO Punches, U-DEC, KO/TKO Flying Knee",Men
Alex Perez,24.0,8.0,167.64,56.7,165.1,Orthodox,32.0,4.12,0.46,3.14,0.59,2.26,0.44,0.82,1.0,47.0,0.0,0.0,"UFC Fight Night: Rozenstruik vs. Gaziev, UFC Fight Night: Barboza vs. Gaethje, UFC 227: Dillashaw vs. Garbrandt 2","Blue, Red","KO/TKO Kick, SUB Arm Triangle, KO/TKO Punches",Men
Alex Reyes,13.0,4.0,180.34,70.31,185.42,Orthodox,37.0,4.04,0.39,10.91,0.4,0.0,0.0,0.0,0.0,15.0,0.0,0.0,UFC Fight Night: Grasso vs. Shevchenko 2,Blue,,Men
Alex Ricci,10.0,5.0,180.34,70.31,,Orthodox,41.0,2.48,0.41,2.53,0.64,0.0,0.0,0.64,0.0,,,,,,,
Alex Schoenauer,15.0,10.0,190.5,83.91,,Orthodox,47.0,1.22,0.4,2.27,0.42,0.0,0.0,0.22,4.9,,,,,,,
Alex Soto,8.0,3.0,172.72,61.23,,Southpaw,40.0,2.95,0.25,5.02,0.59,2.82,0.3,0.0,0.0,46.0,3.0,0.0,UFC on FUEL TV: Korean Zombie vs Poirier,Blue,,Men
Alex Stiebling,19.0,11.0,187.96,92.99,,Southpaw,,1.77,0.42,1.45,0.52,0.35,0.66,0.66,0.7,,,,,,,
Alex Torres,5.0,4.0,177.8,65.77,,Orthodox,35.0,2.47,0.37,2.73,0.69,2.0,0.22,0.5,0.0,,,,,,,
Alex White,13.0,6.0,182.88,70.31,180.34,Southpaw,35.0,3.76,0.42,3.07,0.6,0.92,0.28,0.71,0.5,66.0,0.0,0.0,"UFC Fight Night: Maia vs. Askren, UFC Fight Night: Lewis vs. Dos Santos, UFC 181: Hendricks vs Lawler II","Blue, Red","U-DEC, KO/TKO Punch",Men
Alexa Grasso,16.0,3.0,165.1,56.7,167.64,Orthodox,30.0,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,193.0,0.0,0.0,"UFC Fight Night: Grasso vs. Araujo, UFC Fight Night: Maia vs. Usman, UFC Fight Night: Bermudez vs. The Korean Zombie, UFC Fight Night: Dos Anjos vs. Ferguson","Red, Blue","S-DEC, SUB Rear Naked Choke, U-DEC",Women
Alexander Gustafsson,18.0,8.0,195.58,92.99,200.66,Orthodox,37.0,4.03,0.4,3.53,0.51,1.53,0.39,0.83,0.4,73.0,1.0,0.0,"UFC Fight Night: Gustafsson vs. Smith, UFC Fight Night: Gustafsson vs. Teixeira, UFC Fight Night: Arlovski vs. Barnett, UFC on FOX: Gustafsson vs Johnson, UFC Fight Night: Gustafsson vs Manuwa, UFC on FUEL TV: Gustafsson vs Silva, UFC 127: Penn vs Fitch, UFC 112: Invincible, UFC 105: Couture vs Vera","Blue, Red","KO/TKO Punches, U-DEC, KO/TKO Punch, SUB Rear Naked Choke",Men
Alexander Hernandez,14.0,7.0,175.26,65.77,182.88,Orthodox,31.0,4.63,0.41,4.9,0.56,1.2,0.31,0.6,0.1,76.0,0.0,0.0,"UFC Fight Night: Dawson vs. Green, UFC 271: Adesanya vs. Whittaker 2, UFC Fight Night: Santos vs. Walker, UFC Fight Night: Rozenstruik vs. Gane, UFC Fight Night: Smith vs. Teixeira, UFC Fight Night: Dos Anjos vs. Edwards, UFC Fight Night: Cejudo vs. Dillashaw, UFC Fight Night: Alvarez vs. Poirier 2","Blue, Red","U-DEC, KO/TKO Punch",Men
Alexander Munoz,7.0,2.0,175.26,70.31,182.88,Switch,34.0,3.7,0.42,4.73,0.55,3.0,0.4,1.0,0.0,53.0,3.0,0.0,UFC Fight Night: Holm vs. Bueno Silva,Red,U-DEC,Men
Alexander Volkanovski,26.0,4.0,167.64,65.77,180.34,Orthodox,35.0,6.16,0.56,3.44,0.58,1.78,0.37,0.7,0.2,47.0,0.0,0.0,"UFC 298: Volkanovski vs. Topuria, UFC 290: Volkanovski vs. Rodriguez, UFC 276: Adesanya vs. Cannonier, UFC 273: Volkanovski vs. The Korean Zombie, UFC 266: Volkanovski vs. Ortega, UFC 251: Usman vs. Masvidal, UFC 221: Romero vs. Rockhold, UFC Fight Night: Werdum vs. Tybura, UFC Fight Night: Lewis vs. Hunt","Blue, Red","KO/TKO Punches, U-DEC, S-DEC",Men
Alexander Volkov,37.0,10.0,200.66,113.4,203.2,Orthodox,35.0,5.1,0.57,3.0,0.54,0.49,0.63,0.73,0.2,27.0,0.0,0.0,"UFC Fight Night: Yan vs. Dvalishvili, UFC Fight Night: Volkov vs. Rozenstruik, UFC Fight Night: Volkov vs. Aspinall, UFC 267: Blachowicz vs. Teixeira, UFC 254: Khabib vs. Gaethje, UFC Fight Night: Zabit vs. Kattar, UFC Fight Night: Volkov vs. Struve, UFC on FOX: Johnson vs. Reis","Red, Blue","SUB Ezekiel Choke, KO/TKO Punches, U-DEC, KO/TKO Kick",Men
Alexander Yakovlev,24.0,10.0,190.5,70.31,187.96,Southpaw,39.0,1.74,0.47,2.41,0.58,1.66,0.35,0.72,0.1,38.0,3.0,0.0,"UFC Fight Night: Zabit vs. Kattar, UFC Fight Night: Overeem vs. Oleinik","Blue, Red","SUB Schultz Front Headlock, KO/TKO Punches",Men
Alexandr Romanov,17.0,2.0,187.96,118.84,190.5,Southpaw,33.0,4.06,0.52,2.2,0.5,4.32,0.54,0.2,0.9,104.0,2.0,0.0,"UFC Fight Night: Strickland vs. Magomedov, UFC Fight Night: Font vs. Vera, UFC Fight Night: Dern vs. Rodriguez, UFC Fight Night: Whittaker vs. Gastelum, UFC Fight Night: Santos vs. Teixeira, UFC Fight Night: Waterson vs. Hill",Red,U-DEC,Men
Alexandre Barros,22.0,11.0,175.26,77.11,,Southpaw,47.0,0.98,0.4,4.05,0.36,1.84,0.5,1.0,0.0,,,,,,,
Alexandre Dantas,0.0,3.0,187.96,107.95,,Orthodox,45.0,0.21,0.25,1.87,0.6,0.0,0.0,0.0,3.1,,,,,,,
